Participants,Issue 1,Issue 2,Issue 3,Issue 4,Issue 5,Issue 6,Issue 7,Issue 8,Issue 9,Issue 10,Issue 11,Issue 12,Issue 13,Issue 14,,,
P1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,
P2,1,9,2,12,3,4,10,8,5,13,11,7,6,14,,,
P3,6,10,5,13,3,1,9,12,7,14,2,4,11,8,,,
P4,1,9,6,14,7,8,12,13,2,5,3,4,11,10,,,
P5,5,1,9,13,4,8,6,14,10,2,7,12,3,11,,,
P6,1,5,6,9,13,3,7,2,4,10,8,11,12,14,,,
P7,6,7,10,4,13,2,5,1,8,9,12,3,11,14,,,
P8,2,5,7,12,9,6,8,3,4,13,10,11,1,14,,,
P9,1,11,2,14,12,3,9,10,4,13,7,6,8,5,,,
P10,3,9,1,10,5,2,13,11,4,12,7,8,14,6,,,
P11,3,6,7,13,9,2,14,12,8,11,4,1,10,5,,,
P12,5,12,11,9,1,2,4,8,6,10,3,13,7,14,,,
P13,3,7,9,11,2,4,6,5,8,12,10,1,14,13,,,
P14,8,11,4,12,1,3,2,10,9,6,5,7,13,14,,,
P15,6,13,11,10,1,2,7,3,5,8,4,9,14,12,,,
Total,52,117,93,160,88,56,119,120,93,148,104,109,148,168,,,
Mean Rank,3.466666667,7.8,6.2,10.66666667,5.866666667,3.733333333,7.933333333,8,6.2,9.866666667,6.933333333,7.266666667,9.866666667,11.2,105,Sum of mean ranks,
D2,16.26777778,0.09,1.69,10.02777778,2.667777778,14.18777778,0.187777778,0.25,1.69,5.601111111,0.321111111,0.054444444,5.601111111,13.69,,,
,,,,,,,,,,,,,,,,,
,k,14,Issues,,,,,,,,,,,,,,
,m,15,Participants,,,,,,,,,,,,,,
,w,0.317919414,Kendalls,,,,,,,,,,,,,,
,r,0.269199372,,,,,,,,,,,,,,,
,x2,61.99428571,,,,,,,,,,,,,,,
,df,14,,,,,,,,,,,,,ISSUE KEY,,
,pval,0.00000005,,,,,,,,,,,,,I1,Data Breach,
,Grand Mean,7.5,,,,,,,,,,,,,I2,Cloud Abuse,
,,,,,,,,,,,,,,,I3,Hacking,
,,,,,,,Added Issues,,,,,,,,I4,IoT,
,,,,,,,SQL Injection,,,,,,,,I5,Phishing Attacks,
,,,,,,,Security Policy misalignment,,,,,,,,I6,Malware,
,,,,,,,Access Management,,,,,,,,I7,Single Factor Passwords,
,,,,,,,,,,,,,,,I8,Insecure User App Interface,
,,,,,,,,,,,,,,,I9,Loss of Data,
,,,,,,,,,,,,,,,I10,Shadow IT Systems,
,,,,,,,,,,,,,,,I11,Insider Threat,
,,,,,,,,,,,,,,,I12,Critical Infrastructure Prot.,
,,,,,,,,,,,,,,,I13,Security Policy Compliance,
,,,,,,,,,,,,,,,I14,Cybersecurity Skill shortage,
